Date,Views,Subscribers
1/1/2022,331,1
1/2/2022,605,4
1/3/2022,605,4
1/4/2022,641,7
1/5/2022,766,7
1/6/2022,638,7
1/7/2022,594,3
1/8/2022,516,9
1/9/2022,553,4
1/10/2022,857,9
1/11/2022,653,4
1/12/2022,767,16
1/13/2022,619,6
1/14/2022,542,-1
1/15/2022,456,5
1/16/2022,471,9
1/17/2022,839,14
1/18/2022,830,12
1/19/2022,834,10
1/20/2022,613,7
1/21/2022,593,6
1/22/2022,546,3
1/23/2022,521,4
1/24/2022,907,9
1/25/2022,748,12
1/26/2022,757,10
1/27/2022,826,13
1/28/2022,890,10
1/29/2022,585,11
1/30/2022,617,6
1/31/2022,1013,11
2/1/2022,932,17
2/2/2022,1030,11
2/3/2022,789,9
2/4/2022,802,16
2/5/2022,782,10
2/6/2022,627,11
2/7/2022,1218,33
2/8/2022,968,21
